identifier,frequency,startdate,splitgift,donor,motivation_1,recipient_support_1,recipient_keymin_1,recipient_field_1,amount_1,motivation_2,recipient_support_2,recipient_keymin_2,recipient_field_2,amount_2,motivation_3,recipient_support_3,recipient_keymin_3,recipient_field_3,amount_3
1499,once,2012-12-24T00:00:00,3,118,SUPPORT,182,34,15,154,KEYMIN,2,46,4,413,KEYMIN,55,33,9,460
1500,monthly,2012-02-12T00:00:00,1,633,SUPPORT,101,21,17,478,KEYMIN,19,16,7,170,SUPPORT,77,21,12,372
1501,quarterly,2012-06-17T00:00:00,3,615,FIELD,22,29,19,410,FIELD,83,9,16,455,SUPPORT,132,5,7,188
1502,once,2012-08-20T00:00:00,1,702,KEYMIN,153,28,13,17,FIELD,33,25,13,214,SUPPORT,179,45,8,24
1503,once,2012-10-31T00:00:00,1,398,SUPPORT,194,30,20,107,SUPPORT,103,10,20,382,SUPPORT,158,39,1,389
1504,monthly,2012-01-01T00:00:00,1,399,SUPPORT,7,30,9,100,KEYMIN,102,48,3,205,FIELD,149,19,10,397
1505,monthly,2012-07-15T00:00:00,1,244,KEYMIN,173,33,1,14,FIELD,112,28,15,189,SUPPORT,148,3,2,369
1506,monthly,2012-01-17T00:00:00,2,298,SUPPORT,6,37,4,392,SUPPORT,171,2,6,92,SUPPORT,10,20,12,135
1507,monthly,2012-06-07T00:00:00,1,473,SUPPORT,191,24,16,384,SUPPORT,44,35,19,16,SUPPORT,136,21,16,250
1508,once,2012-04-20T00:00:00,1,114,FIELD,100,11,17,324,KEYMIN,142,15,12,137,SUPPORT,179,3,12,284
1509,monthly,2012-02-08T00:00:00,2,694,FIELD,66,23,4,391,SUPPORT,197,38,15,251,SUPPORT,76,32,6,403
1510,monthly,2012-07-29T00:00:00,1,688,SUPPORT,45,33,5,376,SUPPORT,19,3,5,13,SUPPORT,80,43,6,96
1511,once,2012-02-08T00:00:00,1,294,SUPPORT,15,31,16,241,KEYMIN,88,35,3,45,SUPPORT,28,4,12,30
1512,quarterly,2012-09-29T00:00:00,1,617,SUPPORT,129,25,14,48,SUPPORT,40,1,9,29,SUPPORT,145,45,3,408
1513,monthly,2012-04-12T00:00:00,2,603,SUPPORT,192,13,12,35,FIELD,138,25,13,317,SUPPORT,171,7,15,52
1514,monthly,2012-09-09T00:00:00,1,203,SUPPORT,29,4,18,498,SUPPORT,157,48,8,268,SUPPORT,82,1,4,335
1515,quarterly,2012-05-22T00:00:00,2,436,SUPPORT,178,10,8,300,SUPPORT,191,2,8,486,KEYMIN,24,13,2,433
1516,once,2012-06-03T00:00:00,3,336,SUPPORT,1,42,1,350,KEYMIN,118,12,3,394,FIELD,92,4,17,155
1517,quarterly,2012-05-30T00:00:00,1,145,KEYMIN,1,1,17,145,KEYMIN,26,43,19,195,SUPPORT,29,45,19,410
1518,quarterly,2012-10-11T00:00:00,2,857,FIELD,197,23,14,47,KEYMIN,35,41,17,203,FIELD,131,50,7,373
1519,once,2012-06-13T00:00:00,2,130,SUPPORT,18,40,14,180,FIELD,83,18,1,82,KEYMIN,3,26,5,29
1520,quarterly,2012-10-07T00:00:00,1,967,FIELD,130,35,15,186,SUPPORT,73,33,15,407,SUPPORT,1,42,7,70
1521,quarterly,2012-10-23T00:00:00,1,401,SUPPORT,33,20,6,437,SUPPORT,73,4,15,389,SUPPORT,176,28,4,234
1522,monthly,2012-01-03T00:00:00,3,467,SUPPORT,16,10,10,362,SUPPORT,103,50,4,46,SUPPORT,25,17,20,385
1523,monthly,2012-08-22T00:00:00,1,577,SUPPORT,199,42,5,377,SUPPORT,63,37,16,454,SUPPORT,22,27,13,306
1524,once,2012-11-16T00:00:00,3,557,KEYMIN,7,3,16,418,SUPPORT,92,45,17,448,SUPPORT,56,43,4,214
1525,monthly,2012-12-22T00:00:00,1,567,SUPPORT,84,44,12,138,SUPPORT,187,27,1,499,SUPPORT,84,30,19,292
1526,quarterly,2012-11-06T00:00:00,1,276,KEYMIN,161,41,10,298,KEYMIN,138,1,20,387,FIELD,24,33,16,49
1527,monthly,2012-11-28T00:00:00,2,391,KEYMIN,8,4,16,55,SUPPORT,109,41,3,358,FIELD,29,46,5,432
1528,quarterly,2012-10-15T00:00:00,1,68,KEYMIN,119,11,13,253,SUPPORT,20,10,8,246,FIELD,77,26,4,480
1529,quarterly,2012-05-28T00:00:00,3,792,FIELD,98,32,4,399,SUPPORT,180,31,14,284,SUPPORT,78,20,16,177
1530,once,2012-10-07T00:00:00,3,54,SUPPORT,40,20,6,53,SUPPORT,102,37,17,16,SUPPORT,46,1,2,472
1531,quarterly,2012-04-20T00:00:00,2,46,SUPPORT,59,30,18,307,SUPPORT,145,17,4,76,KEYMIN,123,10,8,357
1532,monthly,2012-05-04T00:00:00,1,702,SUPPORT,68,4,4,284,SUPPORT,38,11,9,211,SUPPORT,195,50,1,356
1533,monthly,2012-07-27T00:00:00,1,403,SUPPORT,154,32,7,139,SUPPORT,107,30,7,131,SUPPORT,23,49,3,346
1534,once,2012-06-05T00:00:00,1,136,SUPPORT,196,40,2,322,SUPPORT,160,43,20,14,FIELD,120,2,9,465
1535,monthly,2012-07-15T00:00:00,1,645,KEYMIN,46,12,15,483,FIELD,198,12,9,471,SUPPORT,44,45,14,440
1536,monthly,2012-01-31T00:00:00,1,192,KEYMIN,135,38,14,36,SUPPORT,33,40,7,141,KEYMIN,194,3,3,47
1537,once,2012-02-24T00:00:00,3,924,FIELD,93,17,17,275,SUPPORT,113,32,11,30,SUPPORT,192,35,18,395
1538,once,2012-01-03T00:00:00,1,5,FIELD,26,32,19,495,SUPPORT,97,21,11,260,FIELD,4,48,1,276
1539,monthly,2012-04-04T00:00:00,1,702,FIELD,143,32,2,478,FIELD,184,6,9,7,SUPPORT,102,41,2,53
1540,monthly,2012-07-25T00:00:00,1,390,KEYMIN,43,19,20,91,FIELD,86,16,3,365,SUPPORT,187,43,15,273
1541,monthly,2012-10-13T00:00:00,3,70,KEYMIN,188,2,8,126,KEYMIN,106,18,9,352,SUPPORT,17,36,12,184
1542,monthly,2012-03-21T00:00:00,1,393,SUPPORT,150,24,11,51,SUPPORT,103,13,8,454,SUPPORT,16,6,10,167
1543,once,2012-04-14T00:00:00,1,697,SUPPORT,73,13,16,20,SUPPORT,115,4,5,262,SUPPORT,98,35,2,169
1544,once,2012-02-04T00:00:00,2,903,SUPPORT,40,35,2,35,SUPPORT,165,29,9,240,SUPPORT,90,46,14,322
1545,once,2012-11-24T00:00:00,1,512,SUPPORT,92,50,9,373,SUPPORT,153,4,13,231,KEYMIN,178,33,9,222
1546,monthly,2012-01-01T00:00:00,3,605,SUPPORT,145,9,18,453,FIELD,120,21,4,287,FIELD,177,13,15,232
1547,monthly,2012-09-21T00:00:00,2,471,FIELD,8,30,19,95,SUPPORT,27,10,5,298,SUPPORT,63,22,15,176
1548,monthly,2012-06-03T00:00:00,2,626,FIELD,97,26,14,116,SUPPORT,130,9,7,206,SUPPORT,36,41,14,255
1549,monthly,2012-08-10T00:00:00,2,298,SUPPORT,144,49,8,305,KEYMIN,57,48,18,409,SUPPORT,169,10,14,205
1550,monthly,2012-03-25T00:00:00,1,765,SUPPORT,122,18,3,157,SUPPORT,79,6,4,380,SUPPORT,199,18,15,376
1551,once,2012-01-23T00:00:00,1,978,SUPPORT,118,11,15,265,SUPPORT,164,28,9,9,KEYMIN,184,49,11,269
1552,quarterly,2012-06-11T00:00:00,1,585,KEYMIN,193,47,15,285,FIELD,54,17,5,488,KEYMIN,154,50,5,315
1553,monthly,2012-11-08T00:00:00,1,168,FIELD,24,26,8,367,KEYMIN,194,11,20,59,KEYMIN,172,38,11,212
1554,monthly,2012-04-06T00:00:00,2,111,FIELD,89,30,18,410,FIELD,193,29,19,395,SUPPORT,79,35,5,427
1555,once,2012-05-20T00:00:00,1,316,KEYMIN,118,46,9,479,FIELD,155,4,7,348,SUPPORT,199,31,20,393
1556,monthly,2012-05-14T00:00:00,3,21,FIELD,146,3,4,188,KEYMIN,115,3,1,215,KEYMIN,62,2,9,50
1557,monthly,2012-07-01T00:00:00,1,278,KEYMIN,105,36,13,183,FIELD,58,26,10,419,SUPPORT,41,35,7,158
1558,once,2012-09-25T00:00:00,2,759,SUPPORT,112,11,14,453,SUPPORT,89,30,16,52,SUPPORT,58,6,6,110
1559,once,2012-10-05T00:00:00,1,381,SUPPORT,113,29,6,263,SUPPORT,157,39,7,409,SUPPORT,161,8,3,208
1560,once,2012-02-08T00:00:00,2,482,SUPPORT,15,46,15,397,FIELD,26,35,20,82,SUPPORT,125,25,15,224
1561,monthly,2012-11-18T00:00:00,1,742,KEYMIN,84,31,10,190,FIELD,197,49,6,384,SUPPORT,36,23,15,363
1562,once,2012-11-26T00:00:00,2,416,SUPPORT,123,21,18,213,SUPPORT,147,35,11,310,SUPPORT,69,21,16,488
1563,once,2012-08-18T00:00:00,1,866,KEYMIN,48,9,6,13,SUPPORT,32,23,18,202,SUPPORT,68,31,12,232
1564,once,2012-07-17T00:00:00,3,412,SUPPORT,147,14,5,337,FIELD,71,19,9,159,SUPPORT,28,32,15,82
1565,monthly,2012-03-01T00:00:00,1,607,KEYMIN,51,31,14,408,KEYMIN,103,37,15,311,SUPPORT,137,13,3,449
1566,once,2012-07-01T00:00:00,3,517,SUPPORT,139,25,12,19,FIELD,182,18,19,373,FIELD,121,30,9,389
1567,once,2012-07-27T00:00:00,2,371,SUPPORT,9,46,10,468,FIELD,88,47,18,482,FIELD,54,13,19,100
1568,quarterly,2012-10-19T00:00:00,1,586,KEYMIN,74,10,8,319,FIELD,176,43,17,414,KEYMIN,86,5,12,251
1569,monthly,2012-02-26T00:00:00,1,487,SUPPORT,65,29,14,418,FIELD,120,22,3,416,SUPPORT,83,21,9,132
1570,monthly,2012-01-11T00:00:00,1,25,SUPPORT,173,8,2,63,SUPPORT,117,38,3,499,SUPPORT,61,33,17,383
1571,monthly,2012-02-18T00:00:00,2,37,SUPPORT,100,50,2,331,FIELD,11,33,18,306,KEYMIN,71,42,8,344
1572,monthly,2012-07-23T00:00:00,1,737,KEYMIN,80,46,11,480,SUPPORT,73,5,10,99,SUPPORT,5,49,12,379
1573,quarterly,2012-05-08T00:00:00,2,427,FIELD,41,26,12,318,SUPPORT,128,25,2,49,KEYMIN,171,37,7,324
1574,monthly,2012-01-11T00:00:00,2,116,SUPPORT,81,34,7,36,FIELD,104,34,17,220,SUPPORT,153,46,20,255
1575,once,2012-10-11T00:00:00,1,632,SUPPORT,48,48,18,206,SUPPORT,167,35,1,344,SUPPORT,90,40,10,428
1576,once,2012-03-15T00:00:00,3,388,KEYMIN,23,7,4,294,FIELD,180,14,7,371,KEYMIN,7,29,3,380
1577,monthly,2012-07-05T00:00:00,1,741,KEYMIN,162,35,18,447,SUPPORT,100,27,6,490,KEYMIN,117,33,15,22
1578,monthly,2012-05-08T00:00:00,3,591,SUPPORT,145,18,8,408,SUPPORT,198,36,9,166,SUPPORT,101,15,2,420
1579,once,2012-11-18T00:00:00,1,794,SUPPORT,154,9,14,30,FIELD,83,8,4,329,SUPPORT,8,49,18,342
1580,monthly,2012-07-23T00:00:00,3,562,FIELD,45,4,12,45,FIELD,158,27,17,32,SUPPORT,92,20,8,46
1581,once,2012-02-18T00:00:00,1,758,SUPPORT,113,23,1,8,SUPPORT,176,21,1,257,KEYMIN,79,37,9,69
1582,monthly,2012-01-29T00:00:00,2,152,SUPPORT,16,32,8,279,SUPPORT,141,42,10,393,FIELD,58,46,3,178
1583,monthly,2012-08-20T00:00:00,1,4,FIELD,5,49,9,195,KEYMIN,140,10,13,415,FIELD,109,17,2,51
1584,monthly,2012-07-17T00:00:00,2,424,SUPPORT,198,39,11,118,SUPPORT,69,47,13,439,FIELD,103,41,15,5
1585,monthly,2012-05-28T00:00:00,2,405,KEYMIN,191,49,7,448,SUPPORT,62,2,16,79,SUPPORT,147,29,20,10
1586,quarterly,2012-07-19T00:00:00,2,313,FIELD,140,42,9,65,SUPPORT,141,14,5,331,SUPPORT,120,48,10,429
1587,quarterly,2012-11-16T00:00:00,1,300,KEYMIN,184,31,15,209,SUPPORT,2,22,17,404,SUPPORT,95,25,12,102
1588,monthly,2012-06-23T00:00:00,1,681,KEYMIN,119,9,11,177,SUPPORT,145,27,18,186,FIELD,98,43,4,288
1589,monthly,2012-07-23T00:00:00,2,991,KEYMIN,172,9,18,408,SUPPORT,118,38,13,412,SUPPORT,7,8,16,170
1590,monthly,2012-01-05T00:00:00,1,343,SUPPORT,69,21,5,81,SUPPORT,177,47,11,78,FIELD,24,10,10,167
1591,monthly,2012-06-05T00:00:00,2,308,SUPPORT,76,42,7,424,SUPPORT,83,1,1,304,KEYMIN,75,31,12,196
1592,once,2012-10-21T00:00:00,1,107,FIELD,92,45,19,489,FIELD,127,34,3,9,SUPPORT,45,17,8,187
1593,monthly,2012-12-04T00:00:00,1,944,SUPPORT,76,25,20,385,SUPPORT,15,23,7,423,SUPPORT,186,6,7,463
1594,once,2012-11-30T00:00:00,1,175,SUPPORT,143,20,20,80,SUPPORT,48,23,17,318,SUPPORT,196,20,19,279
1595,monthly,2012-12-28T00:00:00,1,794,SUPPORT,108,12,19,337,SUPPORT,95,6,8,112,SUPPORT,154,34,20,111
1596,monthly,2012-02-10T00:00:00,2,251,SUPPORT,82,48,14,85,SUPPORT,166,35,11,38,SUPPORT,41,41,14,152
1597,monthly,2012-07-27T00:00:00,1,234,SUPPORT,137,21,7,375,SUPPORT,167,4,7,250,KEYMIN,193,24,6,424
1598,once,2012-10-05T00:00:00,1,517,FIELD,173,25,6,235,SUPPORT,27,31,18,309,SUPPORT,132,14,14,443
1599,once,2012-12-10T00:00:00,1,136,SUPPORT,90,41,8,133,SUPPORT,108,15,15,440,SUPPORT,92,35,18,97
1600,monthly,2012-08-20T00:00:00,2,780,SUPPORT,40,9,13,205,SUPPORT,3,13,12,26,SUPPORT,32,21,9,361
1601,quarterly,2012-09-05T00:00:00,2,676,KEYMIN,33,5,17,322,SUPPORT,150,26,18,124,SUPPORT,3,20,11,325
1602,monthly,2012-02-10T00:00:00,3,479,FIELD,7,47,16,210,SUPPORT,143,34,17,449,KEYMIN,68,24,4,32
1603,monthly,2012-09-01T00:00:00,2,989,SUPPORT,104,27,16,48,KEYMIN,156,11,18,380,SUPPORT,108,35,7,60
1604,once,2012-03-05T00:00:00,1,283,FIELD,43,16,8,234,FIELD,56,31,2,321,SUPPORT,200,48,8,210
1605,quarterly,2012-01-29T00:00:00,2,534,SUPPORT,169,48,12,446,FIELD,136,1,18,247,FIELD,50,36,1,142
1606,quarterly,2012-05-10T00:00:00,2,575,SUPPORT,6,41,3,17,FIELD,37,34,11,41,KEYMIN,67,6,11,96
1607,monthly,2012-04-22T00:00:00,1,85,SUPPORT,180,46,6,453,KEYMIN,124,40,2,410,FIELD,36,36,3,495
1608,quarterly,2012-09-29T00:00:00,2,646,SUPPORT,119,48,20,18,SUPPORT,109,24,13,173,FIELD,185,30,17,495
1609,monthly,2012-02-16T00:00:00,1,835,KEYMIN,138,46,10,169,FIELD,35,13,1,236,SUPPORT,163,11,19,371
1610,monthly,2012-11-28T00:00:00,1,584,SUPPORT,31,19,20,370,FIELD,136,17,3,315,KEYMIN,141,40,7,108
1611,monthly,2012-12-12T00:00:00,2,517,SUPPORT,39,9,11,483,SUPPORT,151,17,16,59,FIELD,34,20,8,475
1612,monthly,2012-01-27T00:00:00,1,255,SUPPORT,134,38,15,19,FIELD,180,25,10,281,KEYMIN,156,33,6,177
1613,monthly,2012-01-07T00:00:00,2,438,SUPPORT,163,21,4,317,SUPPORT,166,41,13,468,SUPPORT,128,16,19,10
1614,quarterly,2012-11-22T00:00:00,2,635,SUPPORT,133,23,1,323,SUPPORT,7,22,8,490,SUPPORT,116,20,11,250
1615,once,2012-09-01T00:00:00,1,730,FIELD,79,41,14,249,SUPPORT,19,43,13,251,KEYMIN,43,22,7,486
1616,monthly,2012-11-14T00:00:00,3,571,SUPPORT,114,30,15,270,KEYMIN,43,11,1,12,SUPPORT,93,29,12,205
1617,once,2012-09-11T00:00:00,1,176,FIELD,14,9,12,191,FIELD,140,35,16,410,SUPPORT,11,4,1,164
1618,once,2012-11-06T00:00:00,1,537,FIELD,162,40,4,69,FIELD,163,42,2,150,FIELD,179,24,1,194
1619,once,2012-09-05T00:00:00,1,51,FIELD,171,15,4,358,KEYMIN,11,10,1,469,SUPPORT,190,37,11,175
1620,monthly,2012-04-08T00:00:00,1,264,SUPPORT,6,10,1,102,SUPPORT,166,2,14,193,SUPPORT,179,45,2,326
1621,monthly,2012-05-24T00:00:00,3,146,SUPPORT,39,17,16,151,SUPPORT,72,41,15,54,KEYMIN,53,34,3,192
1622,monthly,2012-04-06T00:00:00,1,531,SUPPORT,144,37,11,38,SUPPORT,26,29,4,412,KEYMIN,140,37,15,149
1623,monthly,2012-10-25T00:00:00,1,789,KEYMIN,151,28,1,388,SUPPORT,86,35,1,435,SUPPORT,76,47,9,292
1624,once,2012-11-14T00:00:00,2,702,FIELD,157,17,9,11,FIELD,99,6,10,37,SUPPORT,62,38,6,26
1625,monthly,2012-11-30T00:00:00,1,143,FIELD,130,11,20,256,SUPPORT,186,49,9,315,SUPPORT,15,17,12,211
1626,quarterly,2012-09-27T00:00:00,2,545,SUPPORT,123,49,19,320,KEYMIN,37,37,5,94,SUPPORT,51,40,16,222
1627,monthly,2012-07-05T00:00:00,2,262,KEYMIN,41,35,5,453,FIELD,6,39,3,53,SUPPORT,62,10,13,240
1628,once,2012-08-24T00:00:00,2,820,SUPPORT,10,27,20,401,SUPPORT,49,3,16,432,SUPPORT,41,28,6,412
1629,monthly,2012-01-21T00:00:00,2,237,KEYMIN,149,7,15,33,SUPPORT,26,34,20,243,FIELD,89,30,2,456
1630,monthly,2012-10-19T00:00:00,1,624,FIELD,107,20,8,290,SUPPORT,63,18,5,342,SUPPORT,123,37,7,28
1631,monthly,2012-12-24T00:00:00,2,381,FIELD,98,3,10,142,SUPPORT,140,40,4,257,SUPPORT,95,27,7,361
1632,monthly,2012-12-24T00:00:00,1,958,SUPPORT,121,40,18,69,SUPPORT,19,36,16,167,SUPPORT,25,31,13,162
1633,quarterly,2012-06-21T00:00:00,1,308,SUPPORT,126,18,6,61,SUPPORT,195,19,9,43,SUPPORT,25,23,20,69
1634,monthly,2012-07-21T00:00:00,2,479,SUPPORT,168,21,9,190,SUPPORT,39,26,18,71,KEYMIN,184,47,6,110
1635,quarterly,2012-01-03T00:00:00,1,608,FIELD,169,18,2,147,KEYMIN,83,42,14,59,SUPPORT,44,8,5,136
1636,once,2012-05-08T00:00:00,2,125,FIELD,92,28,9,209,SUPPORT,169,41,2,496,SUPPORT,37,14,18,319
1637,monthly,2012-06-25T00:00:00,1,110,KEYMIN,197,19,9,360,FIELD,146,12,8,106,SUPPORT,70,16,20,142
1638,monthly,2012-01-23T00:00:00,1,843,SUPPORT,149,30,20,52,SUPPORT,120,32,12,68,SUPPORT,134,6,13,97
1639,once,2012-12-30T00:00:00,3,951,SUPPORT,84,30,16,324,KEYMIN,99,46,10,293,FIELD,105,24,6,170
1640,once,2012-10-11T00:00:00,1,392,FIELD,129,1,10,254,KEYMIN,136,23,11,327,SUPPORT,15,45,5,145
1641,monthly,2012-08-24T00:00:00,1,289,SUPPORT,109,37,1,155,SUPPORT,55,26,14,455,SUPPORT,78,39,15,414
1642,monthly,2012-08-14T00:00:00,2,17,SUPPORT,200,33,1,13,KEYMIN,198,10,14,374,SUPPORT,137,6,1,391
1643,monthly,2012-04-14T00:00:00,1,216,FIELD,184,24,16,262,SUPPORT,95,20,17,25,SUPPORT,85,36,8,54
1644,once,2012-09-05T00:00:00,2,969,FIELD,154,19,11,43,SUPPORT,60,31,12,497,SUPPORT,3,10,20,414
1645,monthly,2012-11-30T00:00:00,2,689,SUPPORT,182,30,6,234,SUPPORT,76,30,5,315,KEYMIN,124,33,9,98
1646,once,2012-12-22T00:00:00,2,36,SUPPORT,97,3,19,187,SUPPORT,75,24,13,39,KEYMIN,85,47,11,170
1647,once,2012-01-25T00:00:00,2,251,SUPPORT,4,35,15,308,SUPPORT,58,47,17,133,KEYMIN,89,36,13,16
1648,quarterly,2012-03-23T00:00:00,3,323,SUPPORT,38,2,12,124,FIELD,34,41,7,479,KEYMIN,143,6,1,443
1649,monthly,2012-11-20T00:00:00,2,194,SUPPORT,94,5,14,291,KEYMIN,5,45,20,162,SUPPORT,61,17,8,376
1650,once,2012-06-21T00:00:00,2,367,SUPPORT,35,46,14,416,SUPPORT,34,10,18,420,SUPPORT,31,12,4,240
1651,once,2012-12-20T00:00:00,1,64,SUPPORT,168,21,12,166,KEYMIN,86,27,17,104,KEYMIN,68,25,8,381
1652,monthly,2012-02-28T00:00:00,2,850,KEYMIN,103,40,14,390,SUPPORT,146,3,15,246,KEYMIN,186,4,15,302
1653,monthly,2012-11-06T00:00:00,1,742,SUPPORT,130,4,2,186,SUPPORT,8,27,15,440,KEYMIN,172,30,12,24
1654,monthly,2012-02-20T00:00:00,3,101,SUPPORT,96,18,10,268,KEYMIN,60,37,6,403,SUPPORT,92,7,11,383
1655,once,2012-08-30T00:00:00,1,134,SUPPORT,131,12,13,178,SUPPORT,150,30,11,43,FIELD,187,5,1,216
1656,monthly,2012-02-04T00:00:00,3,531,FIELD,28,13,9,456,SUPPORT,148,34,12,108,SUPPORT,96,16,1,38
1657,monthly,2012-09-27T00:00:00,1,723,SUPPORT,87,19,20,386,KEYMIN,102,46,2,227,FIELD,141,17,18,146
1658,once,2012-12-06T00:00:00,1,759,SUPPORT,176,36,20,44,FIELD,186,33,5,289,SUPPORT,162,4,17,468
1659,quarterly,2012-03-09T00:00:00,2,942,FIELD,117,40,15,147,SUPPORT,133,44,12,146,SUPPORT,23,13,9,372
1660,monthly,2012-10-05T00:00:00,1,902,SUPPORT,121,14,16,189,SUPPORT,186,9,15,437,SUPPORT,101,13,2,136
1661,monthly,2012-05-10T00:00:00,2,631,FIELD,174,4,5,174,SUPPORT,96,9,18,444,SUPPORT,143,14,17,120
1662,monthly,2012-01-23T00:00:00,2,597,FIELD,132,16,12,448,SUPPORT,82,25,16,94,FIELD,125,10,12,223
1663,quarterly,2012-02-04T00:00:00,1,216,SUPPORT,122,36,20,40,SUPPORT,103,43,14,100,FIELD,110,32,12,386
1664,once,2012-06-21T00:00:00,1,528,SUPPORT,165,44,7,144,FIELD,159,2,2,301,SUPPORT,65,39,12,92
1665,monthly,2012-06-29T00:00:00,2,806,SUPPORT,15,4,3,425,FIELD,30,25,7,355,SUPPORT,173,25,20,332
1666,monthly,2012-04-10T00:00:00,3,497,SUPPORT,159,20,6,109,SUPPORT,100,22,18,492,SUPPORT,179,8,3,226
1667,once,2012-12-20T00:00:00,1,85,FIELD,32,3,3,302,SUPPORT,160,11,12,407,KEYMIN,159,40,13,118
1668,once,2012-07-09T00:00:00,3,406,SUPPORT,83,33,8,271,SUPPORT,102,39,18,488,SUPPORT,20,29,15,472
1669,quarterly,2012-09-07T00:00:00,2,780,KEYMIN,140,39,10,242,FIELD,53,28,16,483,SUPPORT,15,9,4,237
1670,monthly,2012-02-12T00:00:00,1,288,SUPPORT,157,49,4,227,FIELD,39,5,2,406,KEYMIN,58,41,5,475
1671,monthly,2012-11-14T00:00:00,2,677,SUPPORT,42,9,4,240,SUPPORT,34,28,20,128,KEYMIN,160,25,1,244
1672,once,2012-08-30T00:00:00,1,327,SUPPORT,83,14,7,131,SUPPORT,102,24,7,233,FIELD,82,2,6,156
1673,once,2012-03-07T00:00:00,2,975,SUPPORT,113,21,16,108,SUPPORT,72,45,8,322,SUPPORT,124,8,8,206
1674,monthly,2012-07-31T00:00:00,2,642,FIELD,7,8,16,416,SUPPORT,103,2,1,222,KEYMIN,25,41,15,318
1675,once,2012-06-11T00:00:00,2,715,SUPPORT,109,8,14,205,SUPPORT,155,44,11,427,SUPPORT,98,5,18,273
1676,monthly,2012-01-09T00:00:00,2,345,FIELD,82,19,16,400,FIELD,116,49,1,416,FIELD,18,31,12,254
1677,once,2012-12-12T00:00:00,2,160,SUPPORT,186,11,6,165,SUPPORT,185,22,2,124,FIELD,130,29,12,423
1678,once,2012-08-08T00:00:00,1,379,KEYMIN,21,34,18,230,FIELD,130,49,15,473,SUPPORT,85,8,7,455
1679,monthly,2012-10-21T00:00:00,1,775,SUPPORT,59,44,8,218,KEYMIN,7,12,5,7,SUPPORT,183,34,8,215
1680,once,2012-01-05T00:00:00,3,382,SUPPORT,1,33,12,329,FIELD,25,14,7,248,SUPPORT,138,1,6,23
1681,quarterly,2012-01-17T00:00:00,2,867,SUPPORT,54,47,13,341,SUPPORT,17,9,11,305,FIELD,73,29,18,272
1682,monthly,2012-02-04T00:00:00,3,187,SUPPORT,182,42,16,8,FIELD,116,15,8,366,FIELD,118,23,14,400
1683,quarterly,2012-05-06T00:00:00,1,627,FIELD,95,38,15,90,SUPPORT,123,40,12,228,KEYMIN,42,1,16,88
1684,monthly,2012-05-26T00:00:00,2,696,SUPPORT,18,24,6,167,SUPPORT,182,36,13,479,KEYMIN,182,16,10,223
1685,once,2012-11-20T00:00:00,3,484,SUPPORT,83,1,4,473,FIELD,109,7,2,108,SUPPORT,180,15,7,11
1686,monthly,2012-04-10T00:00:00,1,795,SUPPORT,46,40,17,155,KEYMIN,126,40,18,253,FIELD,2,37,5,350
1687,monthly,2012-06-05T00:00:00,2,376,SUPPORT,56,34,14,75,SUPPORT,155,13,11,128,SUPPORT,120,19,20,23
1688,once,2012-02-24T00:00:00,1,218,SUPPORT,89,38,15,171,KEYMIN,36,47,1,311,SUPPORT,106,10,10,181
1689,monthly,2012-03-29T00:00:00,1,227,SUPPORT,58,7,20,496,SUPPORT,1,49,7,230,SUPPORT,186,1,8,353
1690,monthly,2012-05-30T00:00:00,2,185,FIELD,86,7,15,284,KEYMIN,62,46,6,172,SUPPORT,97,38,19,162
1691,monthly,2012-07-19T00:00:00,1,354,FIELD,41,44,2,339,SUPPORT,68,37,5,95,SUPPORT,37,11,4,131
1692,once,2012-12-16T00:00:00,2,297,KEYMIN,56,22,13,432,SUPPORT,88,43,16,236,SUPPORT,68,34,10,419
1693,once,2012-07-01T00:00:00,1,977,FIELD,92,25,1,86,SUPPORT,2,41,12,396,SUPPORT,68,45,20,192
1694,once,2012-02-24T00:00:00,3,333,SUPPORT,73,29,20,397,KEYMIN,99,14,6,7,KEYMIN,177,35,9,205
1695,quarterly,2012-03-23T00:00:00,2,826,SUPPORT,135,27,6,74,KEYMIN,173,23,7,361,SUPPORT,2,30,7,293
1696,once,2012-09-21T00:00:00,1,99,SUPPORT,108,26,1,213,SUPPORT,168,4,9,54,SUPPORT,119,39,20,368
1697,monthly,2012-08-18T00:00:00,2,843,KEYMIN,116,15,10,431,SUPPORT,80,12,9,30,KEYMIN,119,28,14,115
1698,monthly,2012-09-27T00:00:00,1,988,FIELD,92,20,15,197,SUPPORT,79,29,17,457,SUPPORT,84,42,3,371
1699,once,2012-11-02T00:00:00,2,772,SUPPORT,44,11,14,89,SUPPORT,27,15,13,329,SUPPORT,93,9,8,140
1700,monthly,2012-10-11T00:00:00,1,439,SUPPORT,112,23,7,249,SUPPORT,175,47,15,337,KEYMIN,84,31,6,454
1701,once,2012-06-25T00:00:00,2,592,SUPPORT,30,20,12,294,FIELD,34,15,15,232,SUPPORT,36,7,15,162
1702,quarterly,2012-09-05T00:00:00,3,477,FIELD,70,48,15,88,SUPPORT,3,33,6,262,SUPPORT,47,26,19,437
1703,quarterly,2012-10-13T00:00:00,1,881,KEYMIN,172,45,14,259,SUPPORT,138,24,12,68,SUPPORT,185,29,11,391
1704,monthly,2012-05-16T00:00:00,1,541,KEYMIN,175,12,17,57,SUPPORT,46,5,19,11,SUPPORT,10,50,5,470
